epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1232.05,0.44968,0.46867,0.96864,0,0,0,0,0,0,0,0.0005546,0.0005546,0.0005546
75,1249.11,0.44793,0.45701,0.96357,0,0,0,0,0,0,0,0.0005348,0.0005348,0.0005348
76,1266.19,0.42767,0.44831,0.95441,0,0,0,0,0,0,0,0.000515,0.000515,0.000515
77,1283.22,0.4368,0.4489,0.96,0,0,0,0,0,0,0,0.0004952,0.0004952,0.0004952
78,1300.28,0.42476,0.44284,0.95544,0,0,0,0,0,0,0,0.0004754,0.0004754,0.0004754
79,1317.33,0.42899,0.43677,0.95963,0,0,0,0,0,0,0,0.0004556,0.0004556,0.0004556
80,1334.37,0.39988,0.41604,0.93936,0,0,0,0,0,0,0,0.0004358,0.0004358,0.0004358
81,1351.38,0.41804,0.43616,0.95719,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
82,1368.42,0.41233,0.4208,0.94698,0,0,0,0,0,0,0,0.0003962,0.0003962,0.0003962
83,1385.49,0.41093,0.42271,0.94972,0,0,0,0,0,0,0,0.0003764,0.0003764,0.0003764
84,1402.52,0.39774,0.41309,0.94103,0,0,0,0,0,0,0,0.0003566,0.0003566,0.0003566
85,1419.03,0.39851,0.41377,0.94446,0,0,0,0,0,0,0,0.0003368,0.0003368,0.0003368
86,1435.34,0.41446,0.4288,0.95667,0,0,0,0,0,0,0,0.000317,0.000317,0.000317
87,1451.7,0.39281,0.40582,0.94741,0,0,0,0,0,0,0,0.0002972,0.0002972,0.0002972
88,1468.07,0.4025,0.42418,0.94746,0,0,0,0,0,0,0,0.0002774,0.0002774,0.0002774
89,1484.42,0.38446,0.40606,0.94296,0,0,0,0,0,0,0,0.0002576,0.0002576,0.0002576
90,1500.78,0.39106,0.39374,0.9465,0,0,0,0,0,0,0,0.0002378,0.0002378,0.0002378
91,1517.61,1.3144,1.82344,1.5958,0,0,0,0,0,0,0,0.000218,0.000218,0.000218
92,1533.86,1.26414,1.5415,1.52745,0,0,0,0,0,0,0,0.0001982,0.0001982,0.0001982
93,1550.07,1.21842,1.78511,1.47489,0,0,0,0,0,0,0,0.0001784,0.0001784,0.0001784
94,1566.27,1.2473,1.50176,1.51599,0,0,0,0,0,0,0,0.0001586,0.0001586,0.0001586
95,1582.52,1.21651,1.53841,1.47922,0,0,0,0,0,0,0,0.0001388,0.0001388,0.0001388
